date,asset,rolling_beta
2024-11-29,UNH,0.6367886087438664
2024-12-02,UNH,0.8269296128665504
2024-12-03,UNH,0.8417730963115885
2024-12-04,UNH,0.8343908328736854
2024-12-05,UNH,1.010166069534107
2024-12-06,UNH,1.0549332509537348
2024-12-09,UNH,0.9705023719936029
2024-12-10,UNH,1.0232070372257511
2024-12-11,UNH,0.9021543572573638
2024-12-12,UNH,0.9514594855739306
2024-12-13,UNH,0.9455320073509921
2024-12-16,UNH,0.89310991311693
2024-12-17,UNH,0.9460285880741733
2024-12-18,UNH,0.4987985578647799
2024-12-19,UNH,0.5029171973026553
2024-12-20,UNH,0.5630219483429514
2024-12-23,UNH,0.5773116306208722
2024-12-24,UNH,0.5687079447823593
2024-12-26,UNH,0.5682185287903919
2024-12-27,UNH,0.5598613438606863
2024-12-30,UNH,0.5426688428771308
2024-12-31,UNH,0.5538256619444838
2025-01-02,UNH,0.5535315219005066
2025-01-03,UNH,0.5926625369872519
2025-01-06,UNH,0.6048590846251499
2025-01-07,UNH,0.5618517941108215
2025-01-08,UNH,0.5819101533587532
2025-01-10,UNH,0.5468410591049123
2025-01-13,UNH,0.5662241804576607
2025-01-14,UNH,0.5698482599673439
2025-01-15,UNH,0.5142058213417993
2025-01-16,UNH,0.40202609864071764
2025-01-17,UNH,0.3690844126358101
2025-01-21,UNH,0.42197112435519013
2025-01-22,UNH,0.4053557181044062
2025-01-23,UNH,0.4275687513222214
2025-01-24,UNH,0.42094904203736705
2025-01-27,UNH,0.32319661631737817
2025-01-28,UNH,0.3182926442678052
2025-01-29,UNH,0.32671721541033827
2025-01-30,UNH,0.33882712959107303
2025-01-31,UNH,0.34415237850367775
2025-02-03,UNH,0.3262055430720732
2025-02-04,UNH,0.3612299846237142
2025-02-05,UNH,0.3501595349884634
2025-02-06,UNH,0.32865483612696156
2025-02-07,UNH,0.29790221243052295
2025-02-10,UNH,0.023997018458612466
2025-02-11,UNH,-0.006945225537741961
2025-02-12,UNH,-0.01785123276578084
2025-02-13,UNH,0.0044851220638363245
2025-02-14,UNH,-0.007330790847598405
2025-02-18,UNH,-0.03354669684723357
2025-02-19,UNH,-0.05673766286446134
2025-02-20,UNH,-0.037578672744743864
2025-02-21,UNH,0.27221128311477427
2025-02-24,UNH,0.295271961521049
2025-02-25,UNH,0.26285366638748975
2025-02-26,UNH,0.2654910664406516
2025-02-27,UNH,0.20229312263473345
2025-02-28,UNH,0.2293128018939515
2025-03-03,UNH,0.2576344617975957
2025-03-04,UNH,0.207820030143775
2025-03-05,UNH,0.21022669684906098
2025-03-06,UNH,0.10631056780705554
2025-03-07,UNH,0.12380916034619044
2025-03-10,UNH,0.1814881206148522
2025-03-11,UNH,0.1586047128489458
2025-03-12,UNH,0.1745395752693527
2025-03-13,UNH,0.1816723485050115
2025-03-14,UNH,0.2276530482370955
2025-03-17,UNH,0.33005986715147173
2025-03-18,UNH,0.2910264196454425
2025-03-19,UNH,0.28215862072096826
2025-03-20,UNH,0.31135534660125025
2025-03-21,UNH,0.30108303962373384
2025-03-24,UNH,0.4531493477405472
2025-03-25,UNH,0.44935920076072505
2025-03-26,UNH,0.39276689235630713
2025-03-27,UNH,0.38458279818509594
2025-03-28,UNH,0.37273761722515925
2025-03-31,UNH,0.3849229310688188
2025-04-01,UNH,0.38415958788521726
2025-04-02,UNH,0.3791311444559999
2025-04-03,UNH,0.09733479347108194
2025-04-04,UNH,0.21195531178095564
2025-04-07,UNH,0.1954985002878113
2025-04-08,UNH,0.1346084361758069
